id,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
1,19547.62962,143.314,04N2K1,2016/1/7 11:01,,145.807,0,·ñ,·ñ,,,NA,,NA
2,20609.37012,21.97,04B6K2,2016/1/9 19:19,,NA,NA,,,,,NA,,NA
3,19466.33008,50.424,04B6K2,2016/1/9 20:36,,NA,NA,,,,,NA,,NA
4,20608.21484,87.525,04B6K2,2016/1/8 16:12,,NA,NA,,,,,NA,,NA
5,11955.12866,138.411,04N2K1,2016/1/8 18:16,8PSK,202.588,0,·ñ,·ñ,,,NA,,NA
6,19452.12109,35.352,04B6K2,2016/1/8 13:08,,NA,NA,,,,,NA,,NA
7,19463.08106,22.329,04B6K2,2016/1/9 20:36,,NA,NA,,,,,NA,,NA
8,20608.7959,79.882,04B6K2,2016/1/8 13:08,QPSK,537.595,768000,·ñ,·ñ,,TPCÂë,NA,"12,9,3,2,0",NA
9,20608.78711,59.111,04B6K2,2016/1/8 13:55,QPSK,537.595,768000,·ñ,·ñ,,TPCÂë,NA,"12,9,3,2,0",NA
10,20604.04981,400.289,04B6K2,2016/1/9 20:29,,NA,NA,,,,,NA,,NA
11,20564.22363,373.091,04B6K2,2016/1/8 13:56,,NA,NA,,,,,NA,,NA
12,11642.25981,455.566,04B6K2,2016/1/8 13:56,,NA,NA,,,,,NA,,NA
13,20606.885,458.414,04B6K2,2016/1/8 13:56,,NA,NA,,,,,NA,,NA
14,20631.41797,67.781,04N2K1,2016/1/7 11:01,8PSK,97.823,0,·ñ,·ñ,,,NA,,NA
15,19631.11621,26341.693,04N2K1,2016/1/7 9:39,8PSK,29999.836,0,·ñ,·ñ,,,NA,,NA
16,19469.33203,58.357,04N2K1,2016/1/7 11:01,QPSK,33.914,0,·ñ,·ñ,,,NA,,NA
17,19467.96875,43.141,04N2K1,2016/1/7 11:01,8PSK,45.219,0,·ñ,·ñ,,,NA,,NA
18,19464.3125,40.712,04N2K1,2016/1/7 11:01,8PSK,58.492,0,·ñ,·ñ,,,NA,,NA
19,19462.74902,27.626,04N2K1,2016/1/7 11:01,8PSK,79.128,0,·ñ,·ñ,,,NA,,NA
20,19468.1416,57.477,04N2K1,2016/1/7 11:01,8PSK,91.459,0,·ñ,·ñ,,,NA,,NA
21,19466.94336,34.04,04N2K1,2016/1/7 9:40,QPSK,33.914,0,·ñ,·ñ,,,NA,,NA
22,20608.98145,52.043,04N2K1,2016/2/5 12:02,,0,0,,,,,NA,,NA
23,19467.52344,64.144,04N2K1,2016/1/7 11:01,8PSK,79.132,0,·ñ,·ñ,,,NA,,NA
24,19468.86719,43.261,04N2K1,2016/1/7 11:01,8PSK,33.914,0,·ñ,·ñ,,,NA,,NA
25,12171.41357,167.812,04N2K1,2016/1/29 12:32,QPSK,96.625,0,·ñ,·ñ,,,NA,,NA
26,19467.87891,43.743,04N2K1,2016/1/7 11:01,8PSK,56.523,0,·ñ,·ñ,,,NA,,NA
27,19464.02344,84.736,04N2K1,2016/1/7 11:01,QPSK,45.219,0,·ñ,·ñ,,,NA,,NA
28,19464.15918,68.489,04N2K1,2016/1/7 11:01,8PSK,45.218,0,·ñ,·ñ,,,NA,,NA
29,19466.34375,36.656,04N2K1,2016/1/7 9:40,QPSK,33.914,0,·ñ,·ñ,,,NA,,NA
30,19464.77051,36.564,04N2K1,2016/1/7 11:01,QPSK,33.914,0,·ñ,·ñ,,,NA,,NA
31,19464.46191,66.448,04N2K1,2016/1/7 11:01,,0,0,,,,,NA,,NA
32,19467.6709,43.658,04N2K1,2016/1/7 11:01,8PSK,33.914,0,·ñ,·ñ,,,NA,,NA
33,19463.77637,36.649,04N2K1,2016/1/7 11:01,QPSK,22.61,0,·ñ,·ñ,,,NA,,NA
34,19470.50781,54.45,04N2K1,2016/1/7 11:01,8PSK,90.437,0,·ñ,·ñ,,,NA,,NA
35,19468.02441,62.951,04N2K1,2016/1/7 11:01,QPSK,90.437,0,·ñ,·ñ,,,NA,,NA
36,19470.31836,37.584,04N2K1,2016/1/7 11:01,8PSK,22.609,0,·ñ,·ñ,,,NA,,NA
37,20569.80371,216.849,04N2K1,2016/1/7 9:41,,0,0,,,,,NA,,NA
38,19469.96191,77.167,04N2K1,2016/1/7 11:01,,113.046,0,,,,,NA,,NA
39,19549.35156,40.263,04N2K1,2016/1/7 11:01,QPSK,45.219,0,·ñ,·ñ,,,NA,,NA
40,19466.27637,53.917,04N2K1,2016/1/7 11:01,8PSK,90.436,0,·ñ,·ñ,,,NA,,NA
41,19470.36328,45.086,04N2K1,2016/1/7 11:01,8PSK,56.523,0,·ñ,·ñ,,,NA,,NA
42,19465.88281,45.63,04N2K1,2016/1/7 11:01,8PSK,33.914,0,·ñ,·ñ,,,NA,,NA
43,19469.38965,32.512,04N2K1,2016/1/7 9:41,8PSK,22.609,0,·ñ,·ñ,,,NA,,NA
44,19102.23145,111.54,04N2K1,2016/1/7 9:41,QPSK,40.514,0,·ñ,·ñ,,,NA,,NA
45,20565.73535,553.006,04N2K1,2016/1/19 6:33,8PSK,300.39,0,·ñ,·ñ,,,NA,,NA
46,19469.625,61.786,04N2K1,2016/1/7 11:01,8PSK,33.914,0,·ñ,·ñ,,,NA,,NA
47,19101.78027,116.138,04N2K1,2016/1/7 9:42,8PSK,87.508,0,·ñ,·ñ,,,NA,,NA
48,20567.80859,260.597,04N2K1,2016/1/7 11:01,,0,0,,,,,NA,,NA
49,12030.05469,132.7,04N2K1,2016/1/7 9:42,8PSK,102.736,0,·ñ,·ñ,,,NA,,NA
50,12029.56421,107.768,04N2K1,2016/1/7 9:42,QPSK,42.666,0,·ñ,·ñ,,,NA,,NA
51,12171.74268,166.291,04N2K1,2016/1/10 9:37,8PSK,159.936,0,·ñ,·ñ,,,NA,,NA
52,12029.42554,215.46,04N2K1,2016/1/7 9:42,8PSK,42.666,0,·ñ,·ñ,,,NA,,NA
53,12028.8999,163.717,04N2K1,2016/1/7 11:01,,NA,NA,,,,,NA,,NA
54,19467.27539,36.549,04N2K1,2016/1/7 11:01,,NA,NA,,,,,NA,,NA
55,19467.36719,56.566,04N2K1,2016/1/7 9:42,,NA,NA,,,,,NA,,NA
56,19471.2627,48.214,04N2K1,2016/1/7 11:01,,NA,NA,,,,,NA,,NA
57,20554.65421,264.798,04N2K1,2016/1/7 11:01,,NA,NA,,,,,NA,,NA
58,20554.50845,256.256,04N2K1,2016/1/8 14:07,QPSK,140.873,0,·ñ,·ñ,,,NA,,NA
59,20554.65421,264.798,04N2K1,2016/1/17 20:24,8PSK,283.028,0,·ñ,·ñ,,,NA,,NA
60,20570.61914,239.152,04N2K1,2016/2/5 12:05,QPSK,268.798,384000,·ñ,·ñ,,TPCÂë,NA,"12,9,3,2,0",NA
61,20585.44531,258.076,04N2K1,2016/2/5 12:05,QPSK,268.797,384000,·ñ,·ñ,,TPCÂë,NA,"12,9,3,2,0",NA
62,20529.8125,308.741,04N2K1,2016/2/5 12:05,,0,0,,,ÊÇ,,NA,,NA
63,20568.6084,249.29,04N2K1,2016/1/7 11:01,8PSK,357.055,0,·ñ,·ñ,,,NA,,NA
64,20570.20898,260.065,04N2K1,2016/2/5 12:05,QPSK,268.797,384000,·ñ,·ñ,,TPCÂë,NA,"12,9,3,2,0",NA
65,20569.4082,257.585,04N2K1,2016/1/7 11:01,8PSK,176.842,0,·ñ,·ñ,,,NA,,NA
66,19020.99902,30.371,04N2K1,2016/1/7 11:01,8PSK,39.694,0,·ñ,·ñ,,,NA,,NA
67,20539.89063,66.816,04N2K1,2016/1/8 5:39,8PSK,88.762,0,·ñ,·ñ,,,NA,,NA
68,20604.06738,401.925,04B6K2,2016/1/9 20:36,,NA,NA,,,,,NA,,NA
69,20628.59473,239.093,04B6K2,2016/1/8 10:06,,NA,NA,,,,,NA,,NA
70,20628.5957,75.834,04B6K2,2016/1/7 13:21,,NA,NA,,,,,NA,,NA
71,12064.76856,131.861,04N2K1,2016/2/2 12:32,8PSK,194.846,0,·ñ,·ñ,,,NA,,NA
72,11851.09645,15.186,04N2K1,2016/1/7 11:01,8PSK,17.766,0,·ñ,·ñ,,,NA,,NA
73,11804.47683,15.186,04N2K1,2016/1/7 11:01,QPSK,19.33,0,·ñ,·ñ,,,NA,,NA
74,11824.4939,963.85,04N2K1,2016/1/7 11:01,8PSK,1154.446,0,·ñ,·ñ,,,NA,,NA
